Specifications,Crash Time,Release Time,Adjusted Time
Perfect,-,4:24.65,4:25.50
Raphtalia: R7 2700X @ 4.5 GHz,0:04.95,4:29.60,4:30.45
Arduano: R9 3900X @ 4.6 GHz,0:05.05,4:29.70,4:30.55
umbry: R7 2700X @ Stock (4.3 GHz),0:05.33,4:29.98,4:30.83
Carlos S. M.: R5 3600 @ 4.2 GHz,0:05.45,4:30.10,4:30.95
Supermines: R7 2700X @ Stock (4.3 GHz),0:05.50,4:30.15,4:31.00
Poke Hydre: i5-6500 @ 4.85 GHz,0:05.65,4:30.30,4:31.15
BKB10: R7 2700X @ 4 GHz,0:05.68,4:30.33,4:31.18
Niko MIDI: i7-7700K @ 5 GHz,0:05.93,4:30.58,4:31.43
BlackHawk 580: i7-8700K @ 5.2 GHz,0:05.98,4:30.63,4:31.48
Arduano: TR 1900X @ Stock (4 GHz),0:06.02,4:30.67,4:31.52
AwesomeGamer89: i7-8700K @ 5 GHz,0:06.15,4:30.80,4:31.65
ND: i9-9900K @ 5.2 GHz,0:06.18,4:30.83,4:31.68
Carlos S. M.: i5-2500K @ 5.1 GHz,0:06.18,4:30.83,4:31.68
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:06.32,4:30.97,4:31.82
People11: i7-7700K @ 4.7 GHz,0:06.37,4:31.02,4:31.87
ooo 000: i9-9900K @ 4.6 GHz,0:06.42,4:31.07,4:31.92
dcsm: i7-6700K @ 4.7 GHz,0:06.58,4:31.23,4:32.08
Carlos S. M.: i7-3770K @ 4.8 GHz,0:06.68,4:31.33,4:32.18
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:06.78,4:31.43,4:32.28
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:06.80,4:31.45,4:32.30
Natsuki8000: i7-4790K @ 4.6 GHz,0:06.88,4:31.53,4:32.38
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:07.00,4:31.65,4:32.50
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:07.08,4:31.73,4:32.58
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:07.38,4:32.03,4:32.88
Kelly: i3-9100F @ Stock (4.2 GHz),0:07.55,4:32.20,4:33.05
HDSQ: i5-7600 @ Stock (4.1 GHz),0:07.65,4:32.30,4:33.15
Kelly: i3-8100 @ 3.6 GHz,0:08.30,4:32.95,4:33.80
Carlos S. M.: i3-3220 @ 3.3 GHz,0:08.45,4:33.10,4:33.95
Carlos S. M.: Celeron G1840 @ 2.8 GHz,0:08.98,4:33.63,4:34.48
Carlos S. M.: i7-930 @ 4.63 GHz,0:09.15,4:33.80,4:34.65
ArchaeoPX: R5 2400G @ Stock (3.9 GHz),0:09.18,4:33.83,4:34.68
WoofFace4000: i7-4710HQ @ Stock (3.5 GHz),0:09.23,4:33.88,4:34.73
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:09.37,4:34.02,4:34.87
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:09.88,4:34.53,4:35.38
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),0:09.90,4:34.55,4:35.40
Susu: i5-4300U @ Stock (2.9 GHz),0:26.30,4:50.95,4:51.80
