Specifications,Crash Time,Release Time,Adjusted Time
Perfect,-,5:22.42,5:22.97
Raphtalia: R7 2700X @ 4.5 GHz,0:11.91,5:34.33,5:34.88
Supermines: R7 2700X @ Stock (4.3 GHz),0:12.80,5:35.22,5:35.77
umbry: R7 2700X @ Stock (4.3 GHz),0:12.91,5:35.33,5:35.88
Arduano: R9 3900X @ 4.6 GHz,0:12.98,5:35.40,5:35.95
Poke Hydre: i5-6500 @ 4.85 GHz,0:13.96,5:36.38,5:36.93
BKB10: R7 2700X @ 4 GHz,0:14.31,5:36.73,5:37.28
Carlos S. M.: R5 3600 @ 4.2 GHz,0:14.50,5:36.92,5:37.47
Arduano: TR 1900X @ Stock (4 GHz),0:14.71,5:37.13,5:37.68
BlackHawk 580: i7-8700K @ 5.2 GHz,0:15.55,5:37.97,5:38.52
Carlos S. M.: i7-3770K @ 5.1 GHz,0:15.56,5:37.98,5:38.53
People11: i7-7700K @ 4.7 GHz,0:16.11,5:38.53,5:39.08
Niko MIDI: i7-7700K @ 5 GHz,0:16.46,5:38.88,5:39.43
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:16.96,5:39.38,5:39.93
dcsm: i7-6700K @ 4.7 GHz,0:17.08,5:39.50,5:40.05
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:17.35,5:39.77,5:40.32
Natsuki8000: i7-4790K @ 4.6 GHz,0:17.45,5:39.87,5:40.42
ND: i9-9900K @ 5.2 GHz,0:18.08,5:40.50,5:41.05
ArchaeoPX: R5 2400G @ Stock (3.9 GHz),0:18.11,5:40.53,5:41.08
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:18.45,5:40.87,5:41.42
AwesomeGamer89: i7-8700K @ 5 GHz,0:18.50,5:40.92,5:41.47
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:19.20,5:41.62,5:42.17
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:19.21,5:41.63,5:42.18
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:19.35,5:41.77,5:42.32
Kelly: i3-9100F @ Stock (4.2 GHz),0:20.68,5:43.10,5:43.65
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:22.58,5:45.00,5:45.55
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:22.75,5:45.17,5:45.72
Hans5958: i3-8130U @ Stock (3.4 GHz),0:23.40,5:45.82,5:46.37
HDSQ: i5-7600 @ Stock (4.1 GHz),0:23.66,5:46.08,5:46.63
WoofFace4000: i7-4710HQ @ Stock (3.5 GHz),0:24.31,5:46.73,5:47.28
Kelly: i3-8100 @ 3.6 GHz,0:24.81,5:47.23,5:47.78
Carlos S. M.: i3-3220 @ 3.3 GHz,0:24.88,5:47.30,5:47.85
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),0:26.76,5:49.18,5:49.73
Carlos S. M.: Celeron G1840 @ 2.8 GHz,0:30.78,5:53.20,5:53.75
HDSQ: i7-870 @ 4.1 GHz,0:36.95,5:59.37,5:59.92
DragonPianist: i5-7200U @ Stock (3.1 GHz),0:47.43,6:09.85,6:10.40
Susu: i5-4300U @ Stock (2.9 GHz),1:13.43,6:35.85,6:36.40
