Specifications,Crash Time,Release Time,Adjusted Time
Arduano: R9 3900X @ 4.6 GHz,0:08.08,3:07.80,3:09.23
BlackHawk 580: i7-8700K @ 5.2 GHz,0:08.35,3:08.07,3:09.50
Raphtalia: R7 2700X @ 4.5 GHz,0:08.41,3:08.13,3:09.56
AwesomeGamer89: i7-8700K @ 5 GHz,0:08.56,3:08.28,3:09.71
Carlos S. M.: R5 3600 @ 4.2 GHz,0:08.75,3:08.47,3:09.90
People11: i7-7700K @ 4.7 GHz,0:08.76,3:08.48,3:09.91
Niko MIDI: i7-7700K @ 5 GHz,0:09.08,3:08.80,3:10.23
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:09.31,3:09.03,3:10.46
ND: i9-9900K @ 5.2 GHz,0:09.41,3:09.13,3:10.56
Carlos S. M. i7-3770K @ 4.8 Ghz,0:09.41,3:09.13,3:10.56
dcsm: i7-6700K @ 4.7 GHz,0:09.48,3:09.20,3:10.63
BKB10: R7 2700X @ 4 GHz,0:09.58,3:09.30,3:10.73
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:09.65,3:09.37,3:10.80
Natsuki8000: i7-4790K @ 4.6 GHz,0:10.16,3:09.88,3:11.31
Arduano: TR 1900X @ Stock (4 GHz),0:10.38,3:10.10,3:11.53
Poke Hydre: i5-6500 @ 4.85 GHz,0:10.51,3:10.23,3:11.66
Supermines: R7 2700X @ Stock (4.3 GHz),0:11.08,3:10.80,3:12.23
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:11.18,3:10.90,3:12.33
Xian: i5-8500 @ Stock (4.1 GHz),0:12.01,3:11.73,3:13.16
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:12.28,3:12.00,3:13.43
HDSQ: i5-7600 @ Stock (4.1 GHz),0:12.75,3:12.47,3:13.90
Kelly: i3-9100F @ Stock (4.2 GHz),0:12.95,3:12.67,3:14.10
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:13.33,3:13.05,3:14.48
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:13.56,3:13.28,3:14.71
Kelly: i3-8100 @ 3.6 GHz,0:13.58,3:13.30,3:14.73
Carlos S. M.: i5-2500K @ 4.8 GHz,0:13.58,3:13.30,3:14.73
WoofFace4000: i7-4710HQ @ Stock (3.5 GHz),0:15.88,3:15.60,3:17.03
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),0:17.68,3:17.40,3:18.83
Carlos S. M.: i3-3220 @ 3.3 GHz,0:24.88,3:24.60,3:26.03
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:35.89,3:35.61,3:37.04
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:37.40,3:37.12,3:38.55
