Specifications,Crash Time,Release Time,Adjusted Time
Perfect,-,2:11.38,2:11.43
Arduano: R9 3900X @ 4.6 GHz,0:03.40,2:14.78,2:14.83
Poke Hydre: i5-6500 @ 4.85 GHz,0:03.40,2:14.78,2:14.83
Raphtalia: R7 2700X @ 4.5 GHz,0:03.59,2:14.97,2:15.02
Carlos S. M.: i5-2500K @ 5.2 GHz,0:03.75,2:15.13,2:15.18
Carlos S. M.: i7-3770K @ 5.1 GHz,0:03.87,2:15.25,2:15.30
Supermines: R7 2700X @ Stock (4.3 GHz),0:03.92,2:15.30,2:15.35
Carlos S. M.: R5 3600 @ 4.2 GHz,0:03.94,2:15.32,2:15.37
Niko MIDI: i7-7700K @ 5 GHz,0:04.09,2:15.47,2:15.52
BlackHawk 580: i7-8700K @ 5.2 GHz,0:04.22,2:15.60,2:15.65
People11: i7-7700K @ 4.7 GHz,0:04.24,2:15.62,2:15.67
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:04.42,2:15.80,2:15.85
BKB10: R7 2700X @ 4 GHz,0:04.45,2:15.83,2:15.88
ND: i9-9900K @ 5.2 GHz,0:04.46,2:15.84,2:15.89
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:04.49,2:15.87,2:15.92
Arduano: TR 1900X @ Stock (4 GHz),0:04.70,2:16.08,2:16.13
dcsm: i7-6700K @ 4.7 GHz,0:04.70,2:16.08,2:16.13
Natsuki8000: i7-4790K @ 4.6 GHz,0:04.74,2:16.12,2:16.17
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:05.19,2:16.57,2:16.62
Kelly: i3-9100F @ Stock (4.2 GHz),0:05.32,2:16.70,2:16.75
AwesomeGamer89: i7-8700K @ 5 GHz,0:05.34,2:16.72,2:16.77
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:05.39,2:16.77,2:16.82
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:05.42,2:16.80,2:16.85
Kelly: i3-8100 @ 3.6 GHz,0:05.74,2:17.12,2:17.17
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:05.89,2:17.27,2:17.32
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:06.17,2:17.55,2:17.60
ArchaeoPX: R5 2400G @ Stock (3.9 GHz),0:06.29,2:17.67,2:17.72
HDSQ: i5-7600 @ Stock (4.1 GHz),0:07.19,2:18.57,2:18.62
Carlos S. M.: i3-3220 @ 3.3 GHz,0:07.25,2:18.63,2:18.68
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:07.57,2:18.95,2:19.00
Carlos S. M.: i7-930 @ 4.63 GHz,0:08.09,2:19.47,2:19.52
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),0:08.22,2:19.60,2:19.65
Lucas9810: FX 4130 @ 4.6 GHz,0:09.32,2:20.70,2:20.75
Carlos S. M.: Celeron G1840 @ 2.8 GHz,0:10.35,2:21.73,2:21.78
HDSQ: i7-6500U @ Stock (3.1 GHz),0:21.27,2:32.65,2:32.70
DragonPianist: i5-7200U @ Stock (3.1 GHz),0:23.85,2:35.23,2:35.28
Susu: i5-4300U @ Stock (2.9 GHz),0:47.00,2:58.38,2:58.43
