Specifications,Crash Time,Release Time,Adjusted Time
Perfect,-,5:32.58,5:32.63
Arduano: R9 3900X @ 4.6 GHz,0:05.59,5:38.17,5:38.22
Carlos S. M.: R5 3600 @ 4.2 GHz,0:06.89,5:39.47,5:39.52
Raphtalia: R7 2700X @ 4.5 GHz,0:08.49,5:41.07,5:41.12
Supermines: R7 2700X @ Stock (4.3 GHz),0:10.00,5:42.58,5:42.63
BKB10: R7 2700X @ 4 GHz,0:11.05,5:43.63,5:43.68
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:13.47,5:46.05,5:46.10
ArchaeoPX: R5 2400G @ Stock (3.9 GHz),0:15.35,5:47.93,5:47.98
Poke Hydre: i5-6500 @ 4.85 GHz,0:15.37,5:47.95,5:48.00
BlackHawk 580: i7-8700K @ 5.2 GHz,0:15.45,5:48.03,5:48.08
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:16.50,5:49.08,5:49.13
ND: i9-9900K @ 5.2 GHz,0:16.52,5:49.10,5:49.15
Niko MIDI: i7-7700K @ 5 GHz,0:16.67,5:49.25,5:49.30
People11: i7-7700K @ 4.7 GHz,0:16.95,5:49.53,5:49.58
dcsm: i7-6700K @ 4.7 GHz,0:18.49,5:51.07,5:51.12
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:19.00,5:51.58,5:51.63
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:19.69,5:52.27,5:52.32
AwesomeGamer89: i7-8700K @ 5 GHz,0:20.77,5:53.35,5:53.40
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:21.52,5:54.10,5:54.15
Arduano: TR 1900X @ Stock (4 GHz),0:21.75,5:54.33,5:54.38
Kelly: i3-9100F @ Stock (4.2 GHz),0:22.97,5:55.55,5:55.60
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:24.69,5:57.27,5:57.32
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:24.90,5:57.48,5:57.53
HDSQ: i5-7600 @ Stock (4.1 GHz),0:25.82,5:58.40,5:58.45
Kelly: i3-8100 @ 3.6 GHz,0:26.20,5:58.78,5:58.83
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:28.60,6:01.18,6:01.23
Carlos S. M.: i5-2500K @ 5.2 GHz,0:37.07,6:09.65,6:09.70
Carlos S. M.: i7-3770K @ 5.1 GHz,0:37.90,6:10.48,6:10.53
Natsuki8000: i7-4790K @ 4.6 GHz,0:43.09,6:15.67,6:15.72
Carlos S. M.: i7-930 @ 4.63 GHz,0:48.05,6:20.63,6:20.68
HDSQ: i7-6500U @ Stock (3.1 GHz),0:59.32,6:31.90,6:31.95
DragonPianist: i5-7200U @ Stock (3.1 GHz),1:02.25,6:34.83,6:34.88
Lucas9810: FX 4130 @ 4.6 GHz,1:05.09,6:37.67,6:37.72
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),1:08.69,6:41.27,6:41.32
Carlos S. M.: i3-3220 @ 3.3 GHz,1:10.72,6:43.30,6:43.35
Carlos S. M.: Celeron G1840 @ 2.8 GHz,1:14.09,6:46.67,6:46.72
Susu: i5-4300U @ Stock (2.9 GHz),2:34.32,8:06.90,8:06.95
